,Recency,Frequency,Monetary,Time,Diversity,R_score,F_score,M_score,T_score,D_score,RFMTD_Score,Cluster,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,R_Cluster,F_Cluster,M_Cluster,T_Cluster,D_Cluster,OverallScore,Segment
0,326,1,77183.6,0,1,1,1,5,"(-0.001, 29.0]",1,"115(-0.001, 29.0]1",2,0,0,0,0,0,2,0,0,2,Low-Value
1,2,11,4196.01,366,42,5,5,5,"(277.0, 373.0]",3,"555(277.0, 373.0]3",1,3,1,0,3,1,0,3,0,7,Mid-Value
2,1,209,33719.73,372,1768,5,5,5,"(277.0, 373.0]",5,"555(277.0, 373.0]5",1,3,1,0,3,3,1,3,3,13,High-Value
3,4,5,4090.88,209,160,5,4,5,"(167.0, 277.0]",5,"545(167.0, 277.0]5",3,1,3,0,3,0,0,2,1,6,Mid-Value
4,3,4,942.34,323,55,5,4,4,"(277.0, 373.0]",4,"544(277.0, 373.0]4",1,3,1,0,3,0,0,3,0,6,Mid-Value
5,214,1,92.72,0,6,1,1,1,"(-0.001, 29.0]",1,"111(-0.001, 29.0]1",2,0,0,0,1,0,0,0,0,1,Low-Value
6,71,2,948.88,16,41,3,2,4,"(-0.001, 29.0]",3,"324(-0.001, 29.0]3",0,2,2,0,2,0,0,0,0,2,Low-Value
7,75,5,1759.5,221,1,2,4,4,"(167.0, 277.0]",1,"244(167.0, 277.0]1",3,1,1,0,2,0,0,2,0,4,Low-Value
8,60,1,397.12,0,25,3,1,2,"(-0.001, 29.0]",2,"312(-0.001, 29.0]2",0,2,2,0,2,0,0,0,0,2,Low-Value
9,3,7,1474.72,362,58,5,5,4,"(277.0, 373.0]",4,"554(277.0, 373.0]4",1,3,1,0,3,1,0,3,0,7,Mid-Value
10,6,3,430.15000000000003,38,19,5,3,2,"(29.0, 167.0]",2,"532(29.0, 167.0]2",0,2,2,0,3,0,0,0,0,3,Low-Value
11,3,6,1018.71,127,46,5,4,4,"(29.0, 167.0]",3,"544(29.0, 167.0]3",3,1,3,0,3,1,0,1,0,5,Low-Value
12,337,2,293.0,23,9,1,2,2,"(-0.001, 29.0]",1,"122(-0.001, 29.0]1",2,0,0,0,0,0,0,0,0,0,Low-Value
13,38,6,6814.64,134,13,3,4,5,"(29.0, 167.0]",2,"345(29.0, 167.0]2",3,1,3,0,3,1,0,1,0,5,Low-Value
14,262,1,215.05,0,9,1,1,1,"(-0.001, 29.0]",1,"111(-0.001, 29.0]1",2,0,0,0,0,0,0,0,0,0,Low-Value
15,32,2,383.03,65,27,4,2,2,"(29.0, 167.0]",3,"422(29.0, 167.0]3",0,2,2,0,3,0,0,1,0,4,Low-Value
16,145,1,417.38,0,24,2,1,2,"(-0.001, 29.0]",2,"212(-0.001, 29.0]2",0,2,0,0,1,0,0,0,0,1,Low-Value
17,283,1,312.38,0,18,1,1,2,"(-0.001, 29.0]",2,"112(-0.001, 29.0]2",2,0,0,0,0,0,0,0,0,0,Low-Value
18,59,4,2612.86,252,148,3,4,5,"(167.0, 277.0]",5,"345(167.0, 277.0]5",3,1,1,0,2,0,0,2,1,5,Low-Value
19,173,1,134.1,0,12,2,1,1,"(-0.001, 29.0]",1,"211(-0.001, 29.0]1",2,0,0,0,1,0,0,0,0,1,Low-Value
20,34,2,683.13,340,115,3,2,3,"(277.0, 373.0]",5,"323(277.0, 373.0]5",1,3,1,0,3,0,0,3,1,7,Mid-Value
21,3,14,5591.42,364,95,5,5,5,"(277.0, 373.0]",5,"555(277.0, 373.0]5",1,3,1,0,3,1,0,3,1,8,High-Value
22,144,4,2726.77,82,67,2,4,5,"(29.0, 167.0]",4,"245(29.0, 167.0]4",0,2,0,0,1,0,0,1,0,2,Low-Value
23,5,25,4022.35,367,229,5,5,5,"(277.0, 373.0]",5,"555(277.0, 373.0]5",1,3,1,0,3,2,0,3,2,10,High-Value
24,70,2,1118.99,238,34,3,2,4,"(167.0, 277.0]",3,"324(167.0, 277.0]3",3,1,1,0,2,0,0,2,0,4,Low-Value
25,66,8,1702.26,198,69,3,5,4,"(167.0, 277.0]",4,"354(167.0, 277.0]4",3,1,3,0,2,1,0,2,1,6,Mid-Value
26,29,2,325.96000000000004,101,47,4,2,2,"(29.0, 167.0]",3,"422(29.0, 167.0]3",0,2,2,0,3,0,0,1,0,4,Low-Value
27,267,4,354.09,22,26,1,4,2,"(-0.001, 29.0]",2,"142(-0.001, 29.0]2",2,0,0,0,0,0,0,0,0,0,Low-Value
28,22,1,871.54,0,72,4,1,3,"(-0.001, 29.0]",4,"413(-0.001, 29.0]4",0,2,2,0,3,0,0,0,1,4,Low-Value
29,31,2,1050.8899999999999,237,47,4,2,4,"(167.0, 277.0]",3,"424(167.0, 277.0]3",3,1,1,0,3,0,0,2,0,5,Low-Value
30,97,1,135.18,0,43,2,1,1,"(-0.001, 29.0]",3,"211(-0.001, 29.0]3",0,2,2,0,2,0,0,0,0,2,Low-Value
31,295,1,311.55,0,17,1,1,2,"(-0.001, 29.0]",2,"112(-0.001, 29.0]2",2,0,0,0,0,0,0,0,0,0,Low-Value
32,135,6,1957.1000000000001,181,66,2,4,4,"(167.0, 277.0]",4,"244(167.0, 277.0]4",3,1,3,0,1,1,0,2,0,4,Low-Value
33,79,3,1324.5,239,95,2,3,4,"(167.0, 277.0]",5,"234(167.0, 277.0]5",3,1,1,0,2,0,0,2,1,5,Low-Value
34,373,1,38.1,0,3,1,1,1,"(-0.001, 29.0]",1,"111(-0.001, 29.0]1",2,0,0,0,0,0,0,0,0,0,Low-Value
35,8,6,2179.93,55,155,5,4,5,"(29.0, 167.0]",5,"545(29.0, 167.0]5",0,2,2,0,3,1,0,0,1,5,Low-Value
36,211,2,1106.4,91,37,1,2,4,"(29.0, 167.0]",3,"124(29.0, 167.0]3",2,0,0,0,1,0,0,1,0,2,Low-Value
37,52,1,521.2,0,5,3,1,3,"(-0.001, 29.0]",1,"313(-0.001, 29.0]1",0,2,2,0,2,0,0,0,0,2,Low-Value
38,138,1,147.12,0,3,2,1,1,"(-0.001, 29.0]",1,"211(-0.001, 29.0]1",0,2,2,0,1,0,0,0,0,1,Low-Value
39,26,7,4036.82,333,240,4,5,5,"(277.0, 373.0]",5,"455(277.0, 373.0]5",1,3,1,0,3,1,0,3,2,9,High-Value
40,186,6,1607.0600000000002,187,72,1,4,4,"(167.0, 277.0]",4,"144(167.0, 277.0]4",3,1,3,0,1,1,0,2,1,5,Low-Value
41,84,2,380.64,123,8,2,2,2,"(29.0, 167.0]",1,"222(29.0, 167.0]1",3,1,3,0,2,0,0,1,0,3,Low-Value
42,327,2,599.97,38,58,1,2,3,"(29.0, 167.0]",4,"123(29.0, 167.0]4",2,0,0,0,0,0,0,0,0,0,Low-Value
43,282,1,374.0,0,4,1,1,2,"(-0.001, 29.0]",1,"112(-0.001, 29.0]1",2,0,0,0,0,0,0,0,0,0,Low-Value
44,143,2,343.2300000000001,219,1,2,2,2,"(167.0, 277.0]",1,"222(167.0, 277.0]1",3,1,3,0,1,0,0,2,0,3,Low-Value
45,4,12,1535.77,354,100,5,5,4,"(277.0, 373.0]",5,"554(277.0, 373.0]5",1,3,1,0,3,1,0,3,1,8,High-Value
46,236,2,854.99,29,38,1,2,3,"(-0.001, 29.0]",3,"123(-0.001, 29.0]3",2,0,0,0,1,0,0,0,0,1,Low-Value
47,45,3,573.22,47,7,3,3,3,"(29.0, 167.0]",1,"333(29.0, 167.0]1",0,2,2,0,3,0,0,0,0,3,Low-Value
48,276,1,298.0,0,7,1,1,2,"(-0.001, 29.0]",1,"112(-0.001, 29.0]1",2,0,0,0,0,0,0,0,0,0,Low-Value
49,9,2,1463.04,24,12,5,2,4,"(-0.001, 29.0]",1,"524(-0.001, 29.0]1",0,2,2,0,3,0,0,0,0,3,Low-Value
50,25,4,703.47,64,39,4,4,3,"(29.0, 167.0]",3,"443(29.0, 167.0]3",0,2,2,0,3,0,0,1,0,4,Low-Value
51,88,1,309.05,0,7,2,1,2,"(-0.001, 29.0]",1,"212(-0.001, 29.0]1",0,2,2,0,2,0,0,0,0,2,Low-Value
52,63,3,1175.22,60,66,3,3,4,"(29.0, 167.0]",4,"334(29.0, 167.0]4",0,2,2,0,2,0,0,0,0,2,Low-Value
53,68,2,1378.4,151,75,3,2,4,"(29.0, 167.0]",4,"324(29.0, 167.0]4",3,1,3,0,2,0,0,1,1,4,Low-Value
54,214,2,354.12,41,4,1,2,2,"(29.0, 167.0]",1,"122(29.0, 167.0]1",2,0,0,0,1,0,0,0,0,1,Low-Value
55,24,1,380.46999999999997,0,78,4,1,2,"(-0.001, 29.0]",4,"412(-0.001, 29.0]4",0,2,2,0,3,0,0,0,1,4,Low-Value
56,186,3,331.0,107,2,1,3,2,"(29.0, 167.0]",1,"132(29.0, 167.0]1",2,0,0,0,1,0,0,1,0,2,Low-Value
57,31,1,188.14,0,27,4,1,1,"(-0.001, 29.0]",3,"411(-0.001, 29.0]3",0,2,2,0,3,0,0,0,0,3,Low-Value
58,42,2,372.8,44,22,3,2,2,"(29.0, 167.0]",2,"322(29.0, 167.0]2",0,2,2,0,3,0,0,0,0,3,Low-Value
59,205,2,216.5,97,3,1,2,1,"(29.0, 167.0]",1,"121(29.0, 167.0]1",2,0,0,0,1,0,0,1,0,2,Low-Value
60,9,28,17654.54,261,30,5,5,5,"(167.0, 277.0]",3,"555(167.0, 277.0]3",1,3,1,0,3,2,1,2,0,8,High-Value
61,265,1,138.68,0,10,1,1,1,"(-0.001, 29.0]",1,"111(-0.001, 29.0]1",2,0,0,0,0,0,0,0,0,0,Low-Value
62,18,2,509.58,154,59,4,2,3,"(29.0, 167.0]",4,"423(29.0, 167.0]4",3,1,3,0,3,0,0,1,0,4,Low-Value
63,12,5,2919.81,66,55,5,4,5,"(29.0, 167.0]",4,"545(29.0, 167.0]4",0,2,2,0,3,0,0,1,0,4,Low-Value
64,176,2,750.0,136,1,2,2,3,"(29.0, 167.0]",1,"223(29.0, 167.0]1",3,1,0,0,1,0,0,1,0,2,Low-Value
